cod_endereco,cod_cliente,rua,numero,cidade,estado,cep
42,8198,Quadra Anthony Abreu,19,Marques,AL,20660882
43,21875,Vila de Casa Grande,1,da Conceição dos Dourados,SC,10421251
44,20985,Parque José Pedro Viana,34,Siqueira de Sampaio,GO,93332209
45,4519,Residencial de Azevedo,260,Cirino dos Dourados,PR,21592-042
46,8084,Rua Maya Câmara,305,Sales do Norte,PE,17698613
47,18043,Núcleo João Novais,460,Azevedo das Pedras,PE,95612-933
48,13631,Feira de Martins,42,Silveira,RS,79291-758
49,1046,Trevo de da Mata,18,Ribeiro do Galho,RR,53317310
50,17278,Feira Pedro Ramos,70,Aragão de Melo,CE,77261864
51,2515,Praia Novais,587,Silva de Montenegro,MA,51943626
52,4492,Via Porto,343,Castro da Prata,RJ,49520217
53,10821,Praia Pedro Miguel Gomes,22,Moura,BA,66009-574
54,2971,Área Nina Albuquerque,3,Brito Grande,PR,98979433
55,12745,Vereda da Rocha,47,Caldeira das Pedras,AP,83487267
56,17196,Sítio Rios,1,Silva,MT,01375-744
57,14467,Feira Aparecida,3,Sá,GO,68700-391
58,21979,Condomínio Laís da Cunha,4,Oliveira,PR,26500872
59,16155,Chácara Jesus,26,Vasconcelos,RS,35926-029
60,9634,Estrada de Fernandes,21,da Cruz de Fogaça,ES,15636256
61,24049,Colônia Daniela Camargo,28,Macedo,PB,84268-182
62,22411,Alameda Lima,34,Costa,PR,40318180
63,17321,Lagoa Santos,80,Novais,PB,08744261
64,14243,Praça Moreira,51,Vasconcelos,RS,97499411
65,5177,Esplanada Lima,79,Cunha de Siqueira,DF,87744482
66,14988,Pátio Ribeiro,9,Fonseca,MG,22964-415
67,18487,Chácara Carlos Eduardo Cavalcanti,47,Câmara,DF,20808253
68,5800,Alameda Fernando Vasconcelos,54,da Rocha das Flores,CE,03985412
69,18384,Viaduto Calebe Souza,16,Nogueira dos Dourados,AL,38855-376
70,3126,Conjunto de da Conceição,86,da Luz dos Dourados,SP,57632188
71,3521,Vale Nogueira,5,Machado,RS,91589-591
72,20090,Parque da Paz,40,da Costa,RJ,00070-988
73,13263,Pátio Vieira,7,Vasconcelos,SC,09331313
74,22208,Passarela de Marques,416,Novais da Prata,PR,05681023
75,15652,Vereda Joaquim Carvalho,82,Silva,DF,77453-226
76,10392,Loteamento Casa Grande,41,da Paz de Nogueira,PE,00101-006
77,2564,Campo Olívia Almeida,1,Campos,MT,81029014
78,19386,Loteamento da Cruz,11,Barbosa das Pedras,PR,82736-106
79,9003,Ladeira de da Cunha,84,das Neves,RO,98348744
80,10231,Esplanada Andrade,84,Freitas Alegre,AC,81897236
81,10240,Avenida Porto,542,Nogueira de Sá,SC,32508-999
82,12698,Chácara da Conceição,47,Mendonça,CE,01414-907
83,12019,Vila da Cruz,8,Machado,MS,46331-006
84,10139,Alameda de Brito,756,Aragão,AM,21015-171
85,15006,Feira Ferreira,8,Rios de Viana,SP,13696363
86,7687,Favela Borges,942,Marques,RN,06431-248
87,6386,Área de da Costa,8,Nunes,AM,00612-542
88,13685,Lagoa Gael Henrique Cavalcanti,35,Cassiano,RS,86316-851
89,12858,Favela Maria Júlia Araújo,124,Duarte,RJ,98087585
90,1209,Quadra Gabrielly Freitas,9,Albuquerque do Norte,BA,24629-584
91,946,Jardim da Rosa,5,Cavalcante,RR,55431701
92,10241,Chácara Mendonça,96,Leão,CE,16855-830
93,3370,Distrito Antony das Neves,36,da Mata,DF,77035-723
94,11116,Rodovia Correia,858,Gonçalves,PE,57299622
95,23558,Residencial Cassiano,3,Correia das Flores,PA,55773065
96,2837,Travessa de Campos,89,Novais,AL,90413-867
97,3162,Jardim Lunna da Rosa,74,Vieira das Pedras,MA,80324-338
98,19586,Esplanada de Marques,39,Carvalho,RJ,01432-324
99,10302,Conjunto Araújo,66,Leão das Pedras,PA,22859-746
100,10310,Esplanada de Gomes,2,Pires de Vieira,PE,58055-365
101,16318,Loteamento Leão,1,Vargas,AM,33530466
102,5118,Travessa da Paz,642,Abreu de Mendes,RN,60831692
103,16980,Lagoa Pimenta,37,Pastor,MS,05535-598
104,14719,Ladeira Cavalcanti,31,Rios,AP,30609-291
105,21978,Residencial de Duarte,43,Albuquerque Alegre,ES,97950929
106,17294,Ladeira de Rodrigues,41,Vieira,AM,04888294
107,14646,Lagoa Pedro Miguel Cavalcante,72,Monteiro,MS,37712239
108,20906,Trecho Lavínia Sousa,6,da Mata,PI,70375-365
109,8604,Passarela Pires,11,Sales,RN,41491-555
110,3104,Favela Elisa da Luz,86,das Neves de Cirino,AC,78520658
111,24922,Chácara de Andrade,296,Siqueira Alegre,RN,72763925
112,18228,Ladeira Diego Oliveira,5,Montenegro da Serra,TO,80435-071
113,11202,Alameda Machado,9,da Mota do Galho,RS,49284546
114,8641,Recanto Pedro Lucas Fonseca,57,Cardoso de Goiás,MS,26983-935
115,6967,Parque de Santos,19,Abreu de Moreira,AC,38689-402
116,1250,Lagoa José Pedro Sales,998,Casa Grande de Minas,SE,41445833
117,16679,Lagoa Theodoro Ribeiro,76,Duarte Verde,TO,53157-980
118,14040,Travessa Lima,85,Ramos de Campos,SE,18557-153
119,2427,Aeroporto das Neves,3,Rios Verde,SC,07109788
120,19788,Chácara Rael Ramos,18,Borges de Cavalcanti,PA,35647-969
121,4610,Lagoa de Silveira,60,Vargas,ES,61452-139
122,12972,Alameda de Moura,897,Câmara,DF,74516649
123,23837,Chácara Pacheco,11,Guerra do Norte,GO,62545-242
124,4280,Residencial Maria Laura Nunes,42,Cirino,AL,04805-418
125,24012,Colônia de Mendonça,79,Farias de Correia,GO,78507-709
126,5359,Lago Bryan Caldeira,59,Mendes,TO,54867-653
127,12707,Passarela da Mata,21,Abreu Paulista,PE,72719-746
128,4932,Travessa Alves,3,Rocha das Pedras,SE,92242287
129,17671,Trecho de Aparecida,31,Moraes do Campo,GO,12953-388
130,17568,Rua Renan Jesus,719,Costela dos Dourados,MS,92849220
131,7990,Residencial Rocha,65,Pereira das Flores,BA,34982-233
132,14706,Vereda Sousa,65,Cunha das Pedras,RS,80094-920
133,10678,Fazenda de Sampaio,78,Machado de Lopes,AL,75341243
134,8804,Área de Porto,78,Souza,MG,31115770
135,2081,Trevo Ana Cecília das Neves,154,Peixoto de Araújo,MA,55748-645
136,13739,Conjunto Mendes,9,Barros,GO,36647131
137,19356,Estrada Azevedo,90,Mendonça,AM,69271794
138,6298,Estação de Sales,88,Azevedo,AP,96012544
139,11874,Viela Laura Garcia,301,Sá do Campo,MT,74547-870
140,23237,Jardim de Camargo,923,Martins,AM,08518-755
141,3739,Núcleo de Souza,1,Barros,PB,13150-831
142,13298,Trecho Bernardo Mendes,70,Abreu,CE,18376643
143,4393,Vereda Carvalho,80,Albuquerque dos Dourados,DF,15174-676
144,6409,Condomínio Diego Novaes,2,Caldeira,PE,42652-210
145,6727,Praça Costa,96,Moraes de Cavalcanti,RN,70895753
146,3549,Travessa de Viana,80,da Conceição,SC,70279-193
147,22187,Recanto de da Rosa,42,Nunes,RO,68320-270
148,6796,Jardim de Barros,78,Abreu de Alves,AL,41406237
149,23111,Largo de Moraes,95,Peixoto do Norte,AL,71082081
150,22307,Residencial Laura Silva,81,da Rosa,PI,64133-075
151,13313,Campo da Mota,74,Pimenta do Campo,TO,90878-067
152,15615,Rua Pacheco,2,Cunha de Rios,RN,76066617
153,11719,Feira de Aparecida,99,da Luz da Prata,ES,47621-801
154,1619,Largo Luiz Miguel Viana,904,Siqueira,AP,51284-520
155,21350,Trevo Castro,89,Sampaio,DF,06060363
156,16071,Estação Oliveira,50,Melo do Oeste,ES,89250-038
157,14342,Chácara Aragão,11,Fernandes dos Dourados,SE,23857968
158,3925,Viela Barros,72,Monteiro,AP,62300232
159,14123,Viela Luiz Fernando Peixoto,610,Borges,AC,72897-818
160,24055,Estrada Abreu,736,Campos,PI,82472868
161,9316,Jardim das Neves,68,da Mata,SC,27703236
162,2630,Aeroporto da Paz,85,Lopes,RN,79200-026
163,24588,Lago de Moreira,2,Pereira,AC,70139-276
164,9728,Largo Santos,6,Freitas,TO,84476-911
165,13924,Trecho de Brito,238,Mendonça de Brito,MA,13190930
166,16310,Colônia Maya Souza,410,da Paz,PE,49550-946
167,19289,Favela André Souza,21,Dias,PA,59919-597
168,21900,Lagoa de Montenegro,8,Sales,GO,52323888
169,17551,Trevo Heloisa Fogaça,8,da Costa da Praia,PI,84398118
170,10175,Praça Aylla Aragão,798,Cirino da Serra,AM,37421307
171,8460,Distrito de da Rocha,247,da Conceição de Cassiano,BA,45860-062
172,9804,Aeroporto Heitor Sousa,875,Pereira de Souza,RN,06610-978
173,23701,Avenida Eduardo Vieira,5,Castro do Sul,AM,63416279
174,14221,Conjunto de Fernandes,217,Gomes,PI,18182007
175,1501,Via Siqueira,82,Guerra,PI,22984950
176,6872,Núcleo Maitê Santos,2,Vasconcelos,PB,87005520
177,4482,Alameda Câmara,726,Brito de Minas,CE,32325-675
178,7457,Alameda da Paz,51,Casa Grande,AP,05733-165
179,23317,Feira de da Conceição,60,Câmara,MT,45500320
180,13469,Condomínio de Lopes,22,Nascimento de Goiás,RN,84497327
181,168,Campo Cardoso,75,Cassiano de Freitas,AC,82945269
182,14879,Sítio Aparecida,37,Silveira das Pedras,PB,91858708
183,23028,Pátio de da Mata,14,Aragão Paulista,ES,78026598
184,20266,Condomínio Cavalcante,88,Nunes do Norte,PA,69010272
185,19745,Parque Rael Marques,60,Pires do Campo,RR,76704083
186,13574,Setor Lara Guerra,156,Machado do Norte,RR,33673-757
187,16956,Trevo de Monteiro,78,Gomes de Pastor,MA,59405-902
188,20817,Sítio de Monteiro,89,Montenegro,RO,10915-449
189,252,Loteamento de Jesus,23,Costela,MT,72772802
190,15842,Núcleo Cauê Marques,80,Vasconcelos de Goiás,PA,42440-892
191,20262,Campo José Miguel Martins,29,Sales,BA,88423329
192,18304,Residencial Almeida,48,Rocha de Andrade,RJ,11115807
193,23851,Residencial de das Neves,22,da Cruz,PR,61774-676
194,23745,Favela Levi Ribeiro,16,Rezende de Moura,BA,84252586
195,17923,Trevo Duarte,66,Caldeira,MT,85094-453
196,2567,Área Juliana Cavalcante,16,Leão,AC,17264-928
197,2431,Jardim Aparecida,358,Costa Alegre,RR,07971-893
198,11271,Feira de Alves,3,Macedo,RS,51325518
199,15063,Passarela de Siqueira,720,Abreu do Amparo,PI,96629991
200,6599,Campo de Alves,33,da Rocha,DF,36179081
201,13628,Parque de Casa Grande,54,Barros,PI,90399-394
202,18040,Via Nascimento,90,Costela,RS,81971-613
203,204,Campo de Marques,14,Andrade,MG,72061453
204,1125,Praça Aparecida,62,Gonçalves,PE,54763-326
205,21286,Pátio Nicolas Pastor,980,Pimenta Verde,AC,41984-723
206,19982,Trecho Samuel Jesus,10,Andrade de Novaes,PA,36849458
207,5090,Favela Nicolas Peixoto,649,Vargas de Goiás,MT,09532-865
208,17472,Feira Brayan Leão,40,Peixoto,PE,28256493
209,17235,Estação de Casa Grande,98,Fonseca da Prata,GO,91800-296
210,5310,Ladeira Aurora Novaes,373,Freitas do Sul,SC,01356772
211,1598,Largo de Barros,45,Pinto,ES,29166-435
212,20921,Sítio Renan Melo,14,Martins,PA,72569771
213,1966,Rua Alice Novais,86,Lopes,RN,87110675
214,14918,Alameda de Rezende,2,Guerra da Serra,SP,19835-790
215,9284,Rodovia de Lopes,696,Vargas de Cassiano,RR,95622288
216,22846,Residencial da Cunha,3,Mendonça,ES,50896-835
217,14540,Núcleo Vargas,93,Novais,AM,22860-831
218,23528,Ladeira das Neves,93,Porto da Praia,RJ,03766-299
219,22249,Lagoa Vicente Siqueira,32,Garcia,ES,84044322
220,5097,Ladeira Viana,51,Marques,MG,16220032
221,21099,Vila Macedo,1,Pinto,MT,84612230
222,14592,Lagoa de Camargo,336,Cassiano Grande,SE,69242926
223,17237,Lagoa Almeida,291,Pacheco do Amparo,RN,48645338
224,23013,Estrada Bárbara Nogueira,9,Macedo,BA,34643-147
225,15102,Fazenda Maria Sophia Vasconcelos,901,Melo,TO,52238-174
226,3309,Praia Mathias Sales,57,da Cruz do Sul,RO,67319330
227,11817,Alameda Asafe Alves,7,Machado,TO,07132179
228,19139,Viela de Cardoso,63,Albuquerque,ES,31865-938
229,8091,Conjunto de Moura,604,Rios,TO,32419-537
230,9460,Estrada de Pacheco,290,Martins,TO,18386901
231,4007,Trevo Dom Brito,98,Gonçalves,DF,46929-267
232,23498,Fazenda de Pacheco,594,Pinto,PE,36321-441
233,24852,Chácara Alves,63,da Conceição,SP,73071919
234,2561,Sítio de Pacheco,86,Borges Grande,RJ,43020670
235,4656,Feira Natália Montenegro,94,Pinto,AC,61164-291
236,14084,Residencial Fernando Brito,9,da Cruz,MT,19007-733
237,23440,Distrito Carvalho,64,Cirino das Pedras,AP,80201-173
238,5503,Lago de Nunes,8,Castro,PE,58418-856
239,7966,Estrada Isadora Alves,4,Marques Verde,MS,83026390
240,5371,Rua Dias,5,Araújo de Minas,PA,61613363
241,19719,Lago de Camargo,487,Campos Paulista,PB,47371-383
242,18173,Morro Thales Castro,89,Carvalho de Fernandes,AC,60314-573
243,6613,Recanto de da Cruz,47,Fonseca de Goiás,RN,42984280
244,19894,Campo Letícia Rocha,44,Viana da Praia,RR,08637-340
245,20930,Campo Antony Carvalho,54,Almeida de Vasconcelos,PA,37168-103
246,16717,Rua Monteiro,20,Guerra,CE,92787-221
247,2525,Sítio Milena Pacheco,8,Viana,MS,00686240
248,12306,Praça de Borges,537,Ramos de Freitas,MT,33056658
249,21236,Colônia de Rezende,8,Moura,CE,00861-269
250,828,Vila Marcelo da Costa,53,Castro,AP,75078294
251,21017,Residencial de Nogueira,11,Nascimento,RJ,90580-908
252,4858,Parque Maria Flor Teixeira,620,Rocha,BA,41851-996
253,15602,Lagoa de da Costa,55,Garcia,MA,67231005
254,3075,Viaduto de da Luz,31,Sales,MA,33224-321
255,16876,Pátio Benjamin Caldeira,93,Vargas,MT,90212348
256,1844,Rua Guerra,92,Fogaça dos Dourados,SP,09939-182
257,22277,Via Ribeiro,32,da Conceição,MA,04305-480
258,10743,Sítio de Albuquerque,10,Freitas,AL,66585250
259,22685,Viaduto Rodrigo das Neves,865,Nascimento,AC,30845-325
260,18327,Largo Marina Montenegro,1,Campos de da Rocha,AP,60670-575
261,22500,Quadra da Cunha,52,Martins dos Dourados,PE,82608-345
262,7613,Colônia de Siqueira,17,Fernandes,AP,42946-175
263,13723,Avenida Zoe Gonçalves,29,Fernandes,PA,31064018
264,9616,Colônia Henry Gabriel Peixoto,99,Carvalho,ES,80887-790
265,16108,Praia Melo,41,Vieira,PI,64651933
266,18408,Favela de da Luz,66,Vieira,RO,38375-718
267,7525,Fazenda Marques,76,da Mata,AL,78226-845
268,16373,Pátio da Mota,786,Cirino do Galho,ES,59063-022
269,10241,Via de Alves,895,Cavalcante,AM,90723297
270,17680,Lago Vieira,63,da Paz,CE,14721-323
271,12988,Parque de Peixoto,381,Costela,PA,48675751
272,17766,Via Teixeira,49,Gomes do Galho,ES,89742096
273,1207,Lago Calebe Martins,26,Moraes de Viana,ES,82180-289
274,10560,Núcleo de Silva,609,Monteiro Alegre,TO,93969971
275,24564,Recanto de Rodrigues,18,Moraes,AL,98549-578
276,21470,Área Montenegro,30,da Conceição do Amparo,PR,69950879
277,23851,Vereda Duarte,2,da Cunha das Flores,RS,97654-331
278,5904,Fazenda Barros,73,Farias das Pedras,SE,04147-632
279,12419,Feira da Cruz,589,Porto,MT,62503022
280,2391,Setor de Moreira,4,Vargas,MS,62719385
281,22498,Viaduto Moraes,2,Câmara Grande,DF,89143524
282,15197,Viaduto Costela,2,Garcia,SP,68029-061
283,15560,Residencial Ana Julia da Costa,55,Sales,RN,15831-575
284,18772,Viaduto Enzo Gabriel Martins,9,Pacheco do Galho,MS,03321-379
285,15966,Chácara da Costa,98,Caldeira,RS,54248-509
286,3691,Passarela Ana Sophia Vargas,77,Silveira Alegre,RS,69178202
287,11320,Campo Moreira,17,da Cunha Alegre,AM,10590966
288,20343,Loteamento Melina da Conceição,31,Santos,MA,73245-111
289,4054,Favela Novaes,708,Mendes de Casa Grande,SE,31334-786
290,13331,Largo Correia,4,Guerra Paulista,RJ,89454185
291,3578,Parque Brito,76,Andrade das Flores,DF,95072-756
292,10569,Lago Azevedo,75,Caldeira dos Dourados,MS,80258-684
293,10968,Vereda de Garcia,581,Novaes de Cassiano,RS,30462-990
294,8020,Passarela Sarah Ferreira,38,Abreu do Oeste,PR,91776765
295,4751,Pátio Apollo Araújo,435,Peixoto,AL,18629-513
296,6422,Viela Gomes,55,Aragão Alegre,MS,75306646
297,6178,Via Felipe Cunha,70,Melo,AP,60284354
298,4533,Loteamento Yuri Montenegro,23,Gomes dos Dourados,MS,02122-095
299,5666,Passarela Araújo,44,Cassiano,PR,55648-769
300,20143,Quadra de Sá,35,Guerra dos Dourados,DF,11439-122
301,9803,Jardim Valentina Almeida,47,da Mota,SE,70568191
302,19518,Viaduto Casa Grande,3,Viana de Minas,DF,30806-597
303,1672,Condomínio de da Mota,51,Melo,RO,83906883
304,619,Passarela de Sales,629,Cassiano,SE,28634586
305,10855,Viaduto Matteo Lima,94,da Costa do Sul,SP,27799830
306,6174,Vila Carvalho,458,Silveira Paulista,SE,79972-588
307,19726,Viela Henrique Ramos,95,Pimenta,SP,31705-506
308,15077,Fazenda de Pinto,71,Lima Alegre,AL,81220-712
309,4952,Via da Rocha,27,Alves de Vieira,PE,74299344
310,6726,Aeroporto Pacheco,15,Almeida da Prata,SP,47898-643
311,1656,Viaduto de Câmara,720,Vargas,RS,72775304
312,1357,Travessa de Pacheco,617,Ferreira,SP,50877148
313,340,Vale Caldeira,616,Ribeiro,AM,85052-914
314,21481,Ladeira de Sampaio,90,Cassiano,ES,54209-932
315,3328,Residencial Ana Julia Pires,4,Souza do Galho,RJ,34667447
316,17952,Aeroporto de Moura,359,Guerra da Praia,PE,29981-870
317,16846,Lagoa Gomes,47,Campos,PA,05147221
318,18936,Conjunto Theo da Luz,34,Duarte da Praia,MG,24538-747
319,1382,Ladeira de Rodrigues,3,Sousa,RR,18477-284
320,21533,Vereda Rael Rezende,297,Sá,DF,48076-887
321,13105,Lago Ribeiro,32,Leão,AP,10371031
322,16496,Lago da Costa,6,Azevedo,RO,97272-931
323,7937,Favela de Porto,68,da Paz de Oliveira,BA,67356-642
324,10555,Estação de da Rosa,65,Pinto,MT,88284550
325,6591,Praia de Santos,3,Silveira de Cardoso,AM,89750-381
326,21482,Parque Abreu,850,Mendes,AM,33449-559
327,13208,Fazenda de Casa Grande,95,Ramos,PA,73059221
328,16748,Alameda Manuela Marques,8,Viana do Oeste,MG,95233-777
329,23278,Residencial Pedro Lucas Pires,664,Pinto da Mata,RJ,20442-194
330,6500,Passarela Leão,78,Jesus,MS,16131417
331,5140,Avenida Freitas,98,da Paz,MT,95709-964
332,15966,Viaduto Cecília Freitas,723,da Conceição,MG,01565-063
333,13822,Distrito de Vasconcelos,46,Jesus,GO,47374211
334,1383,Recanto de Pereira,9,Dias,RO,09597073
335,11239,Rua Barbosa,52,Aragão de Minas,DF,10038543
336,2400,Chácara Théo da Rocha,7,Porto,MT,50496-522
337,24560,Vale Vargas,243,da Mota,BA,79451-544
338,6132,Chácara Vasconcelos,64,Vasconcelos,PR,00338-167
339,717,Lago Pinto,83,Pinto,SC,67082377
340,12588,Distrito Silveira,27,da Paz,AC,05463-401
341,16912,Recanto de Sales,9,da Luz do Galho,AP,47793-618
342,2,Viela Rhavi Cunha,985,Vasconcelos,AP,63036217
343,22760,Jardim Aparecida,91,Cavalcante,PI,14281-926
344,17100,Praia de Costa,18,Pacheco,RR,61445-633
345,2007,Alameda Campos,89,Melo,DF,44377-979
346,12084,Área Augusto Moreira,55,Campos,AP,19263-059
347,6700,Alameda Cauã Gomes,64,Vasconcelos Paulista,MS,24806952
348,8229,Praça de Fernandes,4,Carvalho das Pedras,DF,75314-110
349,17543,Avenida Kaique Martins,247,Cirino,RN,34459-476
350,24193,Via Enrico Pacheco,88,Moreira,AC,49912367
351,15317,Largo Sá,4,da Cruz,SE,63389245
352,18269,Chácara de Oliveira,81,Casa Grande Alegre,MS,51618794
353,4419,Vale da Paz,84,Dias da Serra,MG,42270-802
354,22061,Morro Bella Cavalcanti,726,Câmara do Amparo,DF,69235190
355,15087,Travessa de Machado,73,Vieira do Amparo,SC,91400947
356,15227,Parque Siqueira,75,Costa,MS,12120492
357,18709,Favela Vitor Hugo Montenegro,40,Fonseca Grande,PB,34311-349
358,9142,Jardim Novaes,865,Albuquerque,MG,05088983
359,24484,Campo Sá,2,Sales de da Conceição,PI,92086330
360,4194,Ladeira Elisa Moreira,1,Brito,CE,62951968
361,22460,Loteamento de Gomes,1,da Paz,PA,81728977
362,10261,Viaduto de Nunes,97,Ramos Alegre,RN,23529-165
363,20410,Viela de Silva,83,da Cunha de Fogaça,BA,99668045
364,15448,Viela Pimenta,3,Pereira,RJ,52100575
365,15693,Vila Maria Laura Vasconcelos,144,Jesus da Prata,AC,98641-973
366,5496,Ladeira Câmara,56,Monteiro das Flores,MS,18752242
367,9639,Vereda Ayla Leão,89,Moraes Alegre,PB,70047114
368,21466,Estrada de Garcia,79,Moura,AM,32966599
369,14823,Aeroporto da Costa,563,Nunes de Minas,DF,38073585
370,6369,Feira de Casa Grande,2,Moura Alegre,MT,93819-648
371,15572,Loteamento Costela,74,Sampaio,RS,13294318
372,17548,Pátio Sabrina Araújo,83,Borges de Garcia,MA,65042625
373,22110,Esplanada de Carvalho,3,Aparecida,PE,36793861
374,9920,Esplanada Maria Clara Nascimento,705,Aragão,BA,83852649
375,3310,Travessa de Martins,8,Almeida de Barros,MS,39018180
376,2652,Chácara de Peixoto,61,Garcia,AC,76332-042
377,14953,Pátio de Macedo,64,Garcia,PR,34252-048
378,20164,Estação de Câmara,74,da Conceição,BA,40944-284
379,3809,Campo Peixoto,32,Moreira do Oeste,SP,43706998
380,12987,Lago Pedro Lucas Monteiro,32,Costela Alegre,RS,83855-444
381,10430,Ladeira Abreu,512,Moraes dos Dourados,MG,43258-889
382,3724,Viaduto Pacheco,719,Sousa,PR,67010-103
383,3871,Parque de Mendes,53,Novais,RN,63224-658
384,19984,Travessa Ravi Pimenta,63,Vasconcelos de da Cruz,GO,14196426
385,22217,Feira de Ribeiro,90,Pinto de Minas,MT,77000177
386,8725,Viela de Vargas,11,Nascimento,RJ,16860771
387,20153,Favela Costa,10,Marques,RR,82223-135
388,7669,Alameda Maria Luísa Farias,312,Pereira do Oeste,DF,03159242
389,23986,Área de Caldeira,7,Cardoso,AP,62140-014
390,5493,Quadra Campos,217,Rodrigues do Amparo,RR,61363-960
391,14412,Parque Albuquerque,205,Monteiro,BA,98440581
392,9298,Núcleo Sampaio,7,Câmara de Borges,SC,17995-595
393,11075,Sítio Silveira,943,Fogaça,MS,58509-404
394,9767,Vila Rodrigues,35,Vieira do Oeste,MS,69005-273
395,23655,Estação Dante Castro,40,Pinto,RR,23890-549
396,8539,Vila Ramos,54,Rezende de Siqueira,DF,73072166
397,4459,Sítio Teixeira,19,Nogueira,SP,10364537
398,13273,Viaduto Heloísa Guerra,24,Mendonça,MG,71663-581
399,16642,Praça Samuel Moura,8,Moraes,RR,61338033
400,11340,Pátio Monteiro,49,Pimenta Paulista,RR,12396-915
401,11907,Largo Moreira,87,Macedo Paulista,RO,86942-021
402,19854,Distrito Freitas,24,Pimenta,MS,37989-667
403,572,Ladeira de Silveira,44,Barbosa Alegre,MT,07340586
404,15788,Colônia Olivia da Rocha,51,Câmara,MT,67185191
405,448,Trevo de Rezende,38,Guerra de Sousa,GO,89898454
406,3254,Viaduto Eloah Brito,261,Novaes do Norte,BA,34650061
407,21148,Morro de Ribeiro,34,da Luz,PR,20920-183
408,10944,Passarela Rhavi Cavalcanti,11,Nascimento de Minas,PR,63509849
409,12120,Núcleo Evelyn Correia,47,Fogaça,MS,14972733
410,5847,Lagoa Maysa Silveira,73,Fonseca de Costela,SP,45847-968
411,23658,Chácara de Vasconcelos,24,Lopes de da Mata,SC,00233-440
412,24684,Lagoa de da Paz,9,da Cunha,SP,90312-114
413,7629,Conjunto Anthony Rocha,11,Almeida da Mata,TO,83178-312
414,9121,Campo de Martins,219,Machado,TO,79082-493
415,1902,Vila de Rezende,2,Caldeira,BA,81533290
416,1690,Setor de Lima,2,Pinto,AL,99628-205
417,14154,Campo Oliveira,541,Barbosa,ES,63904-860
418,15180,Esplanada de Macedo,82,Fonseca,RR,36643196
419,14214,Campo de Fernandes,10,Macedo da Mata,MA,55431456
420,20821,Viaduto de Albuquerque,12,Carvalho,PA,91121-293
421,1879,Distrito Melo,7,Cavalcante,CE,71483147
422,15280,Viaduto Breno Costela,50,Camargo dos Dourados,SE,75285882
423,16804,Distrito Abreu,51,Peixoto,GO,73508575
424,16663,Residencial de Alves,78,Silva,PE,47042-022
425,23946,Quadra Ana Vitória Pastor,39,Araújo do Campo,MS,88248439
